Gene stable ID	NCBI gene (formerly Entrezgene) ID	HGNC symbol	Gene stable ID
ENSG00000198888	4535	MT-ND1	ENSG00000198888
ENSG00000198763	4536	MT-ND2	ENSG00000198763
ENSG00000198804	4512	MT-CO1	ENSG00000198804
ENSG00000210151	113219467	MT-TS1	ENSG00000210151
ENSG00000198712	4513	MT-CO2	ENSG00000198712
ENSG00000228253	4509	MT-ATP8	ENSG00000228253
ENSG00000198899	4508	MT-ATP6	ENSG00000198899
ENSG00000198938	4514	MT-CO3	ENSG00000198938
ENSG00000198840	4537	MT-ND3	ENSG00000198840
ENSG00000212907	4539	MT-ND4L	ENSG00000212907
ENSG00000198886	4538	MT-ND4	ENSG00000198886
ENSG00000198786	4540	MT-ND5	ENSG00000198786
ENSG00000198695	4541	MT-ND6	ENSG00000198695
ENSG00000198727	4519	MT-CYB	ENSG00000198727
ENSG00000271254	102724250		ENSG00000271254
ENSG00000281362	339822		ENSG00000281362
ENSG00000277044	4987	OPRL1	ENSG00000277044
ENSG00000277339	2832	NPBWR2	ENSG00000277339
ENSG00000276876	4661	MYT1	ENSG00000276876
ENSG00000280663	55251	PCMTD2	ENSG00000280663
ENSG00000262826	65123	INTS3	ENSG00000262826
ENSG00000275442	79166	LILRP2	ENSG00000275442
ENSG00000274696	115653	KIR3DL3	ENSG00000274696
ENSG00000273883	79166	LILRP2	ENSG00000273883
ENSG00000274861	79166	LILRP2	ENSG00000274861
ENSG00000274763	115653	KIR3DL3	ENSG00000274763
ENSG00000273502	115653	KIR3DL3	ENSG00000273502
ENSG00000274120	79166	LILRP2	ENSG00000274120
ENSG00000275172	115653	KIR3DL3	ENSG00000275172
ENSG00000274788	79166	LILRP2	ENSG00000274788
ENSG00000274480	115653	KIR3DL3	ENSG00000274480
ENSG00000277484	3804	KIR2DL3	ENSG00000277484
ENSG00000276806	115653	KIR3DL3	ENSG00000276806
ENSG00000278788	22904	SBNO2	ENSG00000278788
ENSG00000275433	115653	KIR3DL3	ENSG00000275433
ENSG00000274891	51112	TRAPPC12	ENSG00000274891
ENSG00000274826	79166	LILRP2	ENSG00000274826
ENSG00000277267	79166	LILRP2	ENSG00000277267
ENSG00000276247	79166	LILRP2	ENSG00000276247
ENSG00000275623	3804	KIR2DL3	ENSG00000275623
ENSG00000273947	3804	KIR2DL3	ENSG00000273947
ENSG00000276433	115653	KIR3DL3	ENSG00000276433
ENSG00000278821	3802	KIR2DL1	ENSG00000278821
ENSG00000277620	115653	KIR3DL3	ENSG00000277620
ENSG00000276930	115653	KIR3DL3	ENSG00000276930
ENSG00000276218	3804	KIR2DL3	ENSG00000276218
ENSG00000273510	3802	KIR2DL1	ENSG00000273510
ENSG00000277963	79166	LILRP2	ENSG00000277963
ENSG00000275513	115653	KIR3DL3	ENSG00000275513
ENSG00000274842	79166	LILRP2	ENSG00000274842
ENSG00000276310	3802	KIR2DL1	ENSG00000276310
ENSG00000274556	115653	KIR3DL3	ENSG00000274556
ENSG00000275289	79166	LILRP2	ENSG00000275289
ENSG00000275452	100132285	KIR2DS2	ENSG00000275452
ENSG00000277355	3805	KIR2DL4	ENSG00000277355
ENSG00000280830	55256	ADI1	ENSG00000280830
ENSG00000276328	115653	KIR3DL3	ENSG00000276328
ENSG00000263163	11000	SLC27A3	ENSG00000263163
ENSG00000278327	3804	KIR2DL3	ENSG00000278327
ENSG00000278369	3804	KIR2DL3	ENSG00000278369
ENSG00000276625	3802	KIR2DL1	ENSG00000276625
ENSG00000277392	115653	KIR3DL3	ENSG00000277392
ENSG00000277552	115653	KIR3DL3	ENSG00000277552
ENSG00000278288	79166	LILRP2	ENSG00000278288
ENSG00000278490	115653	KIR3DL3	ENSG00000278490
