pway	onto	desc	dir	sum	pval	padj	l_in	l_out	l_pway	idx	leading_edge
GO:0048731	GOBP	system development	cause	-9.2880164744	2.36702210433046e-06	0.0120035169968249	607	1813	3518	11258	AMIGO3(rs7628207),BSN(rs9883000),DCC(rs12968428),FOXP2(rs12672683),CPS1(rs72934339),FGF18(rs6887323),ECM1(rs13294),TCF4(rs613872),PHF2(rs10992790),SHANK3(rs9616945),MAD1L1(rs56016347),DAG1(rs9871024),GABRA1(rs980791),MDGA2(rs3007107),MAGI2(rs67497467),ERBB4(rs72948529),PCDH9(rs1413573),CTNNA2(rs1434077),ADGRB2(rs2050256),HIPK1(rs10732635),NRAP(rs4554804),DHX30(rs13079407),TOX(rs6471755),MACROD2(rs6110505),SMARCC1(rs7649393)
GO:0007275	GOBP	multicellular organism development	cause	-9.9858962659	3.83437693557734e-06	0.0120035169968249	662	1758	3911	5835	AMIGO3(rs7628207),BSN(rs9883000),DCC(rs12968428),FOXP2(rs12672683),CPS1(rs72934339),FGF18(rs6887323),ECM1(rs13294),TCF4(rs613872),PHF2(rs10992790),SHANK3(rs9616945),MAD1L1(rs56016347),DAG1(rs9871024),GABRA1(rs980791),MDGA2(rs3007107),MAGI2(rs67497467),ERBB4(rs72948529),PCDH9(rs1413573),CELF4(rs12967855),CTNNA2(rs1434077),ADGRB2(rs2050256),HIPK1(rs10732635),NRAP(rs4554804),DHX30(rs13079407),TOX(rs6471755),MACROD2(rs6110505)
GO:0007399	GOBP	nervous system development	cause	-6.7137128789	8.05389892436592e-05	0.168084870551517	429	1991	2188	6999	AMIGO3(rs7628207),BSN(rs9883000),DCC(rs12968428),FOXP2(rs12672683),TCF4(rs613872),SHANK3(rs9616945),DAG1(rs9871024),GABRA1(rs980791),MDGA2(rs3007107),MAGI2(rs67497467),ERBB4(rs72948529),PCDH9(rs1413573),CTNNA2(rs1434077),ADGRB2(rs2050256),HIPK1(rs10732635),DHX30(rs13079407),TOX(rs6471755),MACROD2(rs6110505),SMARCC1(rs7649393),EFNB2(rs9514543),ATP2B2(rs58289070),POU6F2(rs6462922),TMX2(rs71460549),SEMA4A(rs7695),LAMA2(rs9402104)
GO:0050807	GOBP	regulation of synapse organization	cause	-1.1065546258	0.000496151144340684	0.688367247634816	51	2369	249	1750	AMIGO3(rs7628207),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CTNNA2(rs1434077),SEMA4A(rs7695),NRXN1(rs17476536),ABHD17C(rs117422098),PTPRD(rs2181158),GRID1(rs2664401),ADGRB3(rs1556754),ADNP(rs2426212),ABI2(rs2246849),FARP1(rs9517299),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),BDNF(rs11030102),PLXNC1(rs4761587),FYN(rs78492539),PTPRD(rs10977884),AGO2(rs7009635),PTPN13(rs35648419),PTPRS(rs116855522),TANC1(rs55863936)
GO:0019673	GOBP	GDP-mannose metabolic process	cause	-0.1616707	0.000758782342158247	0.688367247634816	2	2418	8	9682	GMPPB(rs7628207),DPM1(rs2426213)
GO:0050803	GOBP	regulation of synapse structure or activity	cause	-1.1240804458	0.000842825551800392	0.688367247634816	53	2367	255	4044	AMIGO3(rs7628207),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CTNNA2(rs1434077),SEMA4A(rs7695),NRXN1(rs17476536),ABHD17C(rs117422098),PTPRD(rs2181158),GRID1(rs2664401),ADGRB3(rs1556754),ADNP(rs2426212),ABI2(rs2246849),FARP1(rs9517299),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),BDNF(rs11030102),PLXNC1(rs4761587),FYN(rs78492539),PTPRD(rs10977884),AGO2(rs7009635),PTPN13(rs35648419),PTPRS(rs116855522),TANC1(rs55863936)
GO:0099177	GOBP	regulation of trans-synaptic signaling	cause	-1.9383002098	0.000914548566150837	0.688367247634816	105	2315	475	11746	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CELF4(rs12967855),MCTP1(rs10035632),LAMA2(rs9402104),NRXN1(rs17476536),CSPG5(rs3755637),PTPRD(rs2181158),CELF4(rs9973081),CDH11(rs973199),GRID1(rs2664401),SERPINE2(rs7597833),DRD3(rs4646996),GRID2IP(rs74487555),ADNP(rs2426212),GRIN2B(rs7134291),CALB2(rs6499513),NLGN1(rs583514),BDNF(rs11030102),SHISA9(rs8047829),STX1B(rs9926533)
GO:0050804	GOBP	modulation of chemical synaptic transmission	cause	-1.9383002098	0.000925705277436621	0.688367247634816	105	2315	474	5996	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CELF4(rs12967855),MCTP1(rs10035632),LAMA2(rs9402104),NRXN1(rs17476536),CSPG5(rs3755637),PTPRD(rs2181158),CELF4(rs9973081),CDH11(rs973199),GRID1(rs2664401),SERPINE2(rs7597833),DRD3(rs4646996),GRID2IP(rs74487555),ADNP(rs2426212),GRIN2B(rs7134291),CALB2(rs6499513),NLGN1(rs583514),BDNF(rs11030102),SHISA9(rs8047829),STX1B(rs9926533)
GO:0030100	GOBP	regulation of endocytosis	pleio	1.120635948	0.000933931295945259	0.882837694290028	37	1663	288	3877	RAB5B(rs705699),LRP1(rs11172113),PRKN(rs9458264),PACSIN1(rs6919434),PRTN3(rs631822),DOCK2(rs77558278),LGALS3(rs1009978),SCAMP5(rs11638576),PRKN(rs2024588),CAMK1D(rs7905192),LILRB1(rs1654660),ARC(rs28420666),NLGN1(rs115530495),AHSG(rs2070635),AXL(rs4803446),C2(rs685031),CSK(rs12898997),AZU1(rs28631597),SPACA3(rs1557752),DNAJC6(rs7550429),GH1(rs9282699),DLL1(rs2738822),C2(rs188795517),DOCK2(rs11740661),NUMB(rs547281742)
GO:0035418	GOBP	protein localization to synapse	cause	-0.366586198	0.000989507303739554	0.688367247634816	11	2409	60	12097	BSN(rs9883000),ERBB4(rs72948529),NRXN1(rs17476536),ERBB4(rs72939861),NLGN1(rs583514),STX1B(rs9926533),DLG2(rs919667),DLG1(rs73210543),C1QL3(rs73595371),NRXN1(rs76185675),ASIC2(rs7222278)
GO:0006955	GOBP	immune response	pleio	2.822010804	0.0011373745791151	0.882837694290028	126	1574	1657	12448	ILRUN(rs6907508),BTN3A2(rs34637389),TRIML2(rs35306370),C8A(rs682479),CTSV(rs7037968),C8B(rs684844),LRP1(rs11172113),FOXP1(rs62244881),HLA-DMA(rs580962),STAT6(rs4759275),PRTN3(rs631822),GBF1(rs12779853),NFKB2(rs12772374),DOCK2(rs77558278),LGALS3(rs1009978),ITGAL(rs4243233),CACTIN(rs3746127),PML(rs743581),MYO1C(rs2286872),THEMIS(rs564461),IL7R(rs7717955),IFI35(rs11869496),LILRB1(rs1654660),CD96(rs9827344),TRAF4(rs11574760)
GO:0007155	GOBP	cell adhesion	cause	-3.155988073	0.00120235232494464	0.710703239496139	188	2232	958	670	AMIGO3(rs7628207),CDHR4(rs7637711),DCC(rs12968428),SLC39A8(rs13107325),DAG1(rs9871024),PCDH9(rs1413573),MSLN(rs7202316),AJAP1(rs61765001),CTNNA2(rs1434077),MAGI1(rs34945136),EFNB2(rs9514543),CTNND1(rs80304923),PLEKHA7(rs4757466),LAMA2(rs9402104),NRXN1(rs17476536),PTK7(rs6941837),PTPRD(rs2181158),CDH11(rs973199),DST(rs9475709),MAEA(rs6835521),ITGB6(rs72623113),LSAMP(rs6438382),CDH13(rs9938031),PARD3B(rs849253),PDIA3(rs2411284)
GO:0097091	GOBP	synaptic vesicle clustering	cause	-0.1786265	0.0012486400949461	0.710703239496139	3	2417	11	374	BSN(rs9883000),NLGN1(rs583514),CTBP1(rs1265922)
GO:0022604	GOBP	regulation of cell morphogenesis	pleio	1.089290798	0.0012845786963434	0.882837694290028	36	1664	244	3958	CAMK2B(rs62459111),CFL1(rs654638),ZRANB1(rs7067770),PRKN(rs9458264),PARVA(rs72859092),PARVA(rs2288289),SLC23A2(rs8122118),PRKN(rs2024588),ARHGAP15(rs79695835),TBCCD1(rs56842842),CRK(rs55740849),ARC(rs28420666),PTPRD(rs117657248),DNMBP(rs2490932),EFNA5(rs77984244),CPNE5(rs236418),MYH10(rs62062532),PTPRD(rs2382087),EFNA5(rs35433400),DAG1(rs143719425),CDC42EP3(rs4670752),GNA13(rs11656789),CFDP1(rs78339968),ITPKA(rs28479336),MOV10(rs138400277)
GO:0048227	GOBP	plasma membrane to endosome transport	pleio	0.2576497	0.00142385879831956	0.882837694290028	3	1697	8	13583	RAB5B(rs705699),COMMD1(rs79055900),RAB5C(rs9889776)
GO:0032688	GOBP	negative regulation of interferon-beta production	cause	-0.1463886	0.00191483714404884	0.796732489766194	2	2418	14	6000	TRAIP(rs62260723),PTPRS(rs116855522)
GO:0097479	GOBP	synaptic vesicle localization	cause	-0.28662089	0.00194567520708919	0.796732489766194	8	2412	45	12323	BSN(rs9883000),SNAP91(rs12202798),NLGN1(rs583514),DNM1(rs2016235),CTBP1(rs1265922),DNM2(rs2278444),TOR1A(rs62584846),SNAPIN(rs7345)
GO:0051965	GOBP	positive regulation of synapse assembly	cause	-0.4422722598	0.00212568927053079	0.796732489766194	16	2404	64	12501	AMIGO3(rs7628207),SEMA4A(rs7695),NRXN1(rs17476536),PTPRD(rs2181158),ADGRB3(rs1556754),ADNP(rs2426212),NLGN1(rs583514),BDNF(rs11030102),PTPRD(rs10977884),GRID2(rs61686274),NRXN1(rs76185675),CBLN2(rs658995),FLRT2(rs12882647),LRRTM2(rs80333248),ASIC2(rs7222278),ST8SIA2(rs3825983)
GO:0051101	GOBP	regulation of DNA binding	pleio	0.36798011	0.00222104939086071	0.882837694290028	7	1693	74	8467	ILRUN(rs6907508),PRKN(rs9458264),PRKN(rs2024588),CPNE1(rs7273815),PSEN1(rs362389),ACD(rs72547496),SUMO4(rs9498344)
GO:0099170	GOBP	postsynaptic modulation of chemical synaptic transmission	cause	-0.21720204	0.00222992515399731	0.796732489766194	5	2415	27	8735	DCC(rs12968428),SORCS3(rs3896224),DCC(rs77702046),INA(rs7076274),USP8(rs139097983)
GO:0034331	GOBP	cell junction maintenance	cause	-0.28932249	0.00224559219156458	0.796732489766194	8	2412	45	5992	BSN(rs9883000),PLEKHA7(rs4757466),PLXNA4(rs9656410),ADGRB3(rs1556754),DLG1(rs73210543),SHANK2(rs79218369),CD177(rs10421007),CBLN2(rs658995)
GO:0099558	GOBP	maintenance of synapse structure	cause	-0.23853862	0.00249462790525354	0.796732489766194	6	2414	25	6465	BSN(rs9883000),PLXNA4(rs9656410),ADGRB3(rs1556754),DLG1(rs73210543),SHANK2(rs79218369),CBLN2(rs658995)
GO:0099072	GOBP	regulation of postsynaptic membrane neurotransmitter receptor levels	cause	-0.42197742	0.00253603173806056	0.796732489766194	15	2405	63	12748	ERBB4(rs72948529),EFNB2(rs9514543),ZDHHC5(rs11602109),CTNND1(rs80304923),CPT1C(rs721885),GRID2IP(rs74487555),STXBP4(rs4794550),ERBB4(rs72939861),STX1B(rs9926533),DLG2(rs919667),DLG1(rs73210543),CALY(rs147254716),C1QL3(rs73595371),CPT1C(rs59755901),STXBP4(rs1420525)
GO:0010468	GOBP	regulation of gene expression	pleio	9.20838703047	0.00261130358343244	0.882837694290028	518	1182	4845	9589	ILRUN(rs6907508),RPS26(rs1131017),ERBB3(rs7297175),NFIC(rs34913708),IKZF4(rs1702877),TCF20(rs5996139),BTN3A2(rs34637389),ZNF782(rs1854216),GRIA1(rs78056779),TRIML2(rs35306370),ZNF510(rs2406181),CTBP2(rs7099361),CDK2(rs2069408),RORB(rs10217594),LRP1(rs11172113),RNF141(rs78662548),FTO(rs1111483),PRKN(rs9458264),FOXP1(rs62244881),ZNF597(rs12737),BRD2(rs635688),SPDEF(rs11758529),ADGRG3(rs7190038),STAT6(rs4759275),NOVA1(rs17111434)
GO:0038034	GOBP	signal transduction in absence of ligand	pleio	0.2123674	0.00277160341373727	0.882837694290028	2	1698	35	12628	ERBB3(rs7297175),EYA2(rs914829)
GO:0034330	GOBP	cell junction organization	cause	-1.955171122	0.00278620689655172	0.796732489766194	111	2309	535	10536	BSN(rs9883000),SHANK3(rs9616945),GABRA1(rs980791),ERBB4(rs72948529),HIPK1(rs10732635),EFNB2(rs9514543),SMAD3(rs28360855),PLEKHA7(rs4757466),NRXN1(rs17476536),PLXNA4(rs9656410),PTK7(rs6941837),PTPRD(rs2181158),CDH11(rs973199),PATJ(rs991007),DST(rs9475709),ADGRB3(rs1556754),CDH13(rs9938031),PALM(rs2238554),GRHL2(rs775952),ERBB4(rs72939861),FARP1(rs9517299),IGSF21(rs79200985),CDH13(rs4782784),PTPRO(rs56354312),NLGN1(rs583514)
GO:0099536	GOBP	synaptic signaling	cause	-1.715676413	0.00284186831738886	0.796732489766194	95	2325	463	4941	BSN(rs9883000),DAG1(rs9871024),CADPS2(rs7777351),GABRA1(rs980791),CELF4(rs12967855),LIN7C(rs1131924),NRXN1(rs17476536),PTPRD(rs2181158),CELF4(rs9973081),GRID1(rs2664401),DRD3(rs4646996),SLC12A5(rs9074),EXOC4(rs73156959),RPS6KA2(rs9347138),UTRN(rs6926377),RNF10(rs492574),TENM2(rs12523097),FARP1(rs9517299),GRIN2B(rs7134291),NLGN1(rs583514),CACNB2(rs77952637),HCRTR2(rs4605886),STX1B(rs9926533),GABRG1(rs4572913),PTPRD(rs10977884)
GO:0043647	GOBP	inositol phosphate metabolic process	cause	-0.1392516	0.00286777023765581	0.796732489766194	2	2418	29	13395	IP6K1(rs9870858),ITPKC(rs4803361)
GO:0097192	GOBP	extrinsic apoptotic signaling pathway in absence of ligand	pleio	0.2123674	0.00291410600421247	0.882837694290028	2	1698	33	1425	ERBB3(rs7297175),EYA2(rs914829)
GO:0032720	GOBP	negative regulation of tumor necrosis factor production	pleio	0.35052195	0.00299436703231545	0.882837694290028	7	1693	62	14879	ILRUN(rs6907508),CACTIN(rs3746127),LILRB1(rs1654660),AXL(rs4803446),ARG2(rs56083029),LILRB4(rs2569715),LGALS9(rs3751093)
GO:2000479	GOBP	regulation of cAMP-dependent protein kinase activity	cause	-0.1418818	0.00302069625553296	0.796732489766194	2	2418	7	5243	MST1(rs3020779),HTT(rs59613878)
GO:0000375	GOBP	RNA splicing, via transesterification reactions	cause	-0.640254699	0.00303376186471224	0.796732489766194	28	2392	246	7362	PRPF3(rs2797653),RBM6(rs7615318),CELF4(rs12967855),CWF19L2(rs11600026),CELF4(rs9973081),CWC22(rs4893886),DDX20(rs197393),MFAP1(rs663214),CTNNBL1(rs79266757),SRSF9(rs566124),ZCCHC8(rs7955513),RALY(rs6142099),LSM1(rs3015656),YTHDC1(rs72651910),CELF4(rs17670413),PRPF6(rs147176547),TXNL4A(rs112271335),SNRPA(rs2607415),HNRNPH1(rs13188643),SRSF1(rs2233911),CELF2(rs622034),PSIP1(rs72706616),TXNL4A(rs1077510),TRA2A(rs6960918),SRPK2(rs1143)
GO:0002376	GOBP	immune system process	pleio	4.049864202	0.00313596423137827	0.882837694290028	201	1499	2302	5844	ILRUN(rs6907508),RAB5B(rs705699),BTN3A2(rs34637389),TRIML2(rs35306370),C8A(rs682479),CTSV(rs7037968),C8B(rs684844),LRP1(rs11172113),FOXP1(rs62244881),HLA-DMA(rs580962),ADGRG3(rs7190038),STAT6(rs4759275),PRTN3(rs631822),GBF1(rs12779853),NFKB2(rs12772374),DOCK2(rs77558278),LGALS3(rs1009978),ITGAL(rs4243233),CACTIN(rs3746127),PML(rs743581),MYO1C(rs2286872),CMTM7(rs3844589),THEMIS(rs564461),ASXL1(rs8182876),IL7R(rs7717955)
GO:0035295	GOBP	tube development	cause	-2.2297214195	0.0031424037833297	0.796732489766194	129	2291	897	4530	CPS1(rs72934339),FGF18(rs6887323),ECM1(rs13294),DAG1(rs9871024),EFNB2(rs9514543),SEMA4A(rs7695),SMAD3(rs28360855),PLXNA4(rs9656410),PTK7(rs6941837),STARD13(rs12583950),NOTO(rs60009779),ITGB6(rs72623113),SERPINE2(rs7597833),MAN1A2(rs12144850),LRP1(rs17547610),SEMA3C(rs7797670),RARB(rs6782425),CDH13(rs9938031),KIF26B(rs12403095),VEZF1(rs79121083),CSMD1(rs11136718),RCN3(rs139852150),WDPCP(rs6710230),GRHL2(rs775952),TEK(rs622232)
GO:0032958	GOBP	inositol phosphate biosynthetic process	cause	-0.1392516	0.00327210289305731	0.796732489766194	2	2418	12	9477	IP6K1(rs9870858),ITPKC(rs4803361)
GO:0009605	GOBP	response to external stimulus	pleio	3.997916341	0.00333630627952301	0.882837694290028	197	1503	1895	13211	ILRUN(rs6907508),BLOC1S6(rs4337250),TRIML2(rs35306370),C8A(rs682479),CFL1(rs654638),C8B(rs684844),PRKN(rs9458264),FOXP1(rs62244881),PARVA(rs72859092),PARVA(rs2288289),PRTN3(rs631822),GBF1(rs12779853),NFKB2(rs12772374),DOCK2(rs77558278),ANO1(rs875107),LGALS3(rs1009978),CACTIN(rs3746127),PML(rs743581),MYO1C(rs2286872),COL11A1(rs2061705),WNT7B(rs28971325),CMTM7(rs3844589),CEP250(rs224390),GPM6A(rs7677621),NRXN1(rs11125325)
