pway	onto	desc	dir	sum	pval	padj	l_in	l_out	l_pway	idx	leading_edge
HP:0007364	DPs	Aplasia/Hypoplasia of the cerebrum	cause	-3.1772526835	1.49999997e-07	0.000676199986476	196	447	1345	2778	GMPPB(rs7628207),TRAIP(rs62260723),DCC(rs12968428),TARS2(rs7553867),TCF4(rs613872),VPS33B(rs8026678),MAD1L1(rs56016347),DAG1(rs9871024),KIF15(rs10514710),DPYD(rs61787778),DDB2(rs3758667),CTNNA2(rs1434077),DHX30(rs13079407),ANKRD11(rs3114881),TMX2(rs71460549),CLP1(rs7117878),RARS2(rs2295086),SLC35A1(rs2300905),CDH11(rs973199),COG3(rs2985983),DMXL2(rs4775950),SH3PXD2B(rs2163790),GOLGA2(rs79027662),PRDM16(rs4648456),ITGB6(rs72623113)
HP:0040195	DPs	Decreased head circumference	cause	-2.7774977155	4.73063594969507e-06	0.00633970399964521	168	475	1143	741	GMPPB(rs7628207),TRAIP(rs62260723),TCF4(rs613872),VPS33B(rs8026678),MAD1L1(rs56016347),DAG1(rs9871024),KIF15(rs10514710),DPYD(rs61787778),DDB2(rs3758667),CTNNA2(rs1434077),DHX30(rs13079407),ANKRD11(rs3114881),TMX2(rs71460549),CLP1(rs7117878),RARS2(rs2295086),SLC35A1(rs2300905),CDH11(rs973199),COG3(rs2985983),DMXL2(rs4775950),GOLGA2(rs79027662),PRDM16(rs4648456),ITGB6(rs72623113),TNRC6B(rs62236842),RPL11(rs2280437),SLC12A5(rs9074)
HP:0001760	DPs	Abnormal foot morphology	cause	-2.9679444308	4.76028141841116e-06	0.00633970399964521	184	459	1278	189	GMPPB(rs7628207),TRAIP(rs62260723),DCC(rs12968428),SLC39A8(rs13107325),TCF4(rs613872),VPS33B(rs8026678),MAD1L1(rs56016347),DAG1(rs9871024),KIAA0825(rs7737779),CTNNA2(rs1434077),ANO5(rs6483833),NBAS(rs56023655),DHX30(rs13079407),KIAA0825(rs9314102),KDELR2(rs58074950),DST(rs9475709),DMXL2(rs4775950),SH3PXD2B(rs2163790),PRDM16(rs4648456),CSGALNACT1(rs7011587),CPT1C(rs721885),WDR73(rs2271432),PTPN22(rs9429730),MYT1L(rs12328008),CAMK2G(rs7098444)
HP:0000240	DPs	Abnormality of skull size	cause	-3.2503583103	5.76111683071494e-06	0.00633970399964521	207	436	1369	7440	GMPPB(rs7628207),TRAIP(rs62260723),FOXP2(rs12672683),TCF4(rs613872),VPS33B(rs8026678),MAD1L1(rs56016347),DAG1(rs9871024),KIF15(rs10514710),DPYD(rs61787778),DDB2(rs3758667),CTNNA2(rs1434077),DHX30(rs13079407),ANKRD11(rs3114881),TMX2(rs71460549),CLP1(rs7117878),RARS2(rs2295086),SLC35A1(rs2300905),CDH11(rs973199),COG3(rs2985983),DMXL2(rs4775950),GOLGA2(rs79027662),PRDM16(rs4648456),ITGB6(rs72623113),TNRC6B(rs62236842),RPL11(rs2280437)
HP:0000252	DPs	Microcephaly	cause	-2.7643558155	7.03161490643879e-06	0.00633970399964521	167	476	1131	4645	GMPPB(rs7628207),TRAIP(rs62260723),TCF4(rs613872),VPS33B(rs8026678),MAD1L1(rs56016347),DAG1(rs9871024),KIF15(rs10514710),DPYD(rs61787778),DDB2(rs3758667),CTNNA2(rs1434077),DHX30(rs13079407),ANKRD11(rs3114881),TMX2(rs71460549),CLP1(rs7117878),RARS2(rs2295086),SLC35A1(rs2300905),CDH11(rs973199),COG3(rs2985983),DMXL2(rs4775950),GOLGA2(rs79027662),PRDM16(rs4648456),ITGB6(rs72623113),TNRC6B(rs62236842),RPL11(rs2280437),SLC12A5(rs9074)
HP:0031826	DPs	Abnormal reflex	cause	-2.4931988505	1.36356008527516e-05	0.0102448814407007	147	496	1059	10894	GMPPB(rs7628207),DCC(rs12968428),SLC39A8(rs13107325),PRPF3(rs2797653),DAG1(rs9871024),ERBB4(rs72948529),DPYD(rs61787778),DDB2(rs3758667),CTNNA2(rs1434077),EYS(rs354365),DHX30(rs13079407),APOB(rs1469513),TMX2(rs71460549),CLP1(rs7117878),TRAF3(rs8006649),RARS2(rs2295086),SLC35A1(rs2300905),EYS(rs961518),DST(rs9475709),GOLGA2(rs79027662),USH2A(rs185920786),KCND3(rs197422),CPT1C(rs721885),WDR73(rs2271432),DPM1(rs2426213)
HP:0007369	DPs	Atrophy/Degeneration affecting the cerebrum	cause	-1.799479603	3.30852810791174e-05	0.0213069210149516	97	546	595	8282	GMPPB(rs7628207),FOXP2(rs12672683),TARS2(rs7553867),SLC39A8(rs13107325),PCCB(rs9812513),DPYD(rs61787778),DDB2(rs3758667),DHX30(rs13079407),TMX2(rs71460549),CLP1(rs7117878),RARS2(rs2295086),DMXL2(rs4775950),GOLGA2(rs79027662),USH2A(rs185920786),PRDM16(rs4648456),SLC12A5(rs9074),WDR73(rs2271432),MYT1L(rs12328008),ADNP(rs2426212),CDH23(rs7070424),DPM1(rs2426213),RTEL1(rs3787089),WWOX(rs12828),STUB1(rs78410329),STX1B(rs9926533)
HP:0001873	DPs	Thrombocytopenia	pleio	1.088000851	6.84765725373689e-05	0.104671958050913	38	360	365	10162	RPS26(rs1131017),ERBB3(rs7297175),BLOC1S6(rs4337250),TCN2(rs2240433),NFKB2(rs12772374),DOCK2(rs77558278),PML(rs743581),ASXL1(rs8182876),IL7R(rs7717955),RPL27(rs1567832),RNASEH2C(rs4645932),FANCD2(rs73016516),STAT5B(rs6503691),BANK1(rs77079938),BRCA1(rs8176310),ASXL1(rs2295762),ABCA1(rs13292447),SF3B1(rs699318),FARS2(rs7742603),STAT3(rs17884004),BRAF(rs77207598),DOCK2(rs11740661),RAD51(rs11638204),RPL35(rs3818761),TCN2(rs16988828)
HP:0011873	DPs	Abnormal platelet count	pleio	1.122989151	8.13545778865369e-05	0.104671958050913	40	358	392	811	RPS26(rs1131017),ERBB3(rs7297175),BLOC1S6(rs4337250),TCN2(rs2240433),NFKB2(rs12772374),DOCK2(rs77558278),PML(rs743581),ASXL1(rs8182876),IL7R(rs7717955),RPL27(rs1567832),TBXA2R(rs2238632),RNASEH2C(rs4645932),FANCD2(rs73016516),STAT5B(rs6503691),BANK1(rs77079938),BRCA1(rs8176310),ASXL1(rs2295762),ABCA1(rs13292447),SF3B1(rs699318),FARS2(rs7742603),STAT3(rs17884004),BRAF(rs77207598),DOCK2(rs11740661),RAD51(rs11638204),RPL35(rs3818761)
HP:0011875	DPs	Abnormal platelet morphology	pleio	1.153219691	8.22031084169472e-05	0.104671958050913	42	356	396	1129	RPS26(rs1131017),ERBB3(rs7297175),BLOC1S6(rs4337250),TCN2(rs2240433),NFKB2(rs12772374),DOCK2(rs77558278),PML(rs743581),ASXL1(rs8182876),IL7R(rs7717955),RPL27(rs1567832),TBXA2R(rs2238632),HPS6(rs3737243),RNASEH2C(rs4645932),FANCD2(rs73016516),STAT5B(rs6503691),BANK1(rs77079938),BRCA1(rs8176310),ASXL1(rs2295762),ABCA1(rs13292447),SF3B1(rs699318),FARS2(rs7742603),STAT3(rs17884004),BRAF(rs77207598),DOCK2(rs11740661),RAD51(rs11638204)
