pway	onto	desc	dir	sum	pval	padj	l_in	l_out	l_pway	idx	leading_edge
GO:0042802	GOMF	identical protein binding	pleio	4.245355725	0.000798905262491793	0.683221889485991	203	1565	2042	5158	ERBB3(rs7297175),SNRPC(rs75398113),CAMK2B(rs62459111),BLOC1S6(rs4337250),MFSD1(rs6802844),MIPOL1(rs8009361),GRIA1(rs78056779),TRIML2(rs35306370),PMEL(rs2069408),PPCDC(rs4886649),PRKN(rs9458264),FOXP1(rs62244881),HSD17B4(rs179193),PACSIN1(rs6919434),NECTIN3(rs7372838),STAT6(rs4759275),ZNF174(rs37813),ZSCAN32(rs27240),ANO1(rs875107),TG(rs6988193),ESYT1(rs11171747),PML(rs743581),RNF41(rs10876879),LDB1(rs35366855),GDF5(rs58029146)
GO:0016667	GOMF	oxidoreductase activity, acting on a sulfur group of donors	pleio	0.34014889	0.000828649956926611	0.683221889485991	5	1763	56	5294	SUOX(rs1081975),SQOR(rs663992),PDIA4(rs35590396),PDIA5(rs836854),SQOR(rs11855175)
GO:0016874	GOMF	ligase activity	cause	-0.658194764	0.00182481751824818	0.990196078431373	28	2463	169	1229	UBA7(rs58339610),CPS1(rs72934339),TARS2(rs7553867),PCCB(rs9812513),GATB(rs9998462),RARS2(rs2295086),ACSF2(rs4794148),SUCLG2(rs9821884),SLC27A4(rs9695920),GATC(rs7137953),GSS(rs6088658),MOCS3(rs2426215),ASNS(rs6959868),TTLL12(rs138936),FARS2(rs11758527),AACS(rs11058031),MTHFD1L(rs146628633),ITCH(rs77383724),ACSF3(rs7197055),RARS2(rs28381451),ACSS2(rs8123210),ACSS2(rs139954879),SLC27A3(rs10158450),RTCA(rs115135282),PAICS(rs7694047)
GO:0008641	GOMF	ubiquitin-like modifier activating enzyme activity	cause	-0.1419681	0.00251813807374903	0.990196078431373	2	2489	10	4589	UBA7(rs58339610),MOCS3(rs2426215)
GO:0003925	GOMF	G protein activity	pleio	0.24072629	0.00279460999972331	0.690347103053214	3	1765	49	804	RAB5B(rs705699),RAB5C(rs9889776),GNA13(rs11656789)
GO:0003729	GOMF	mRNA binding	pleio	1.079129554	0.0028471556633027	0.690347103053214	38	1730	343	2522	RPS26(rs1131017),SNRPC(rs75398113),NOVA1(rs17111434),RBFOX3(rs4790044),RBFOX1(rs6500805),RBFOX2(rs9610350),RBMS3(rs6549951),RBFOX1(rs4238877),BOLL(rs771013),SLBP(rs2236995),SLC4A1AP(rs13023094),ARC(rs28420666),PTBP1(rs351974),RBFOX1(rs4786074),IREB2(rs11072765),RPL41(rs1689512),MYH10(rs62062532),NELFE(rs630379),JRK(rs4736366),RBFOX1(rs77019581),SF3B1(rs699318),TRA2B(rs80292881),RBM5(rs115261880),DDX39B(rs114751021),RBFOX1(rs79857230)
GO:0180030	GOMF	inositol phosphate kinase activity	cause	-0.1392516	0.00315181775628023	0.990196078431373	2	2489	11	1009	IP6K1(rs9870858),ITPKC(rs4803361)
GO:0032555	GOMF	purine ribonucleotide binding	cause	-4.616793224	0.00421272158498436	0.990196078431373	296	2195	1892	339	GMPPB(rs7628207),IP6K1(rs9870858),UBA7(rs58339610),CPS1(rs72934339),CAMKV(rs62260755),TARS2(rs7553867),PCCB(rs9812513),ERBB4(rs72948529),KIF15(rs10514710),RHOT2(rs7202316),CHST15(rs28423034),HIPK1(rs10732635),MAGI1(rs34945136),DHX30(rs13079407),STK32B(rs735287),GATB(rs9998462),ATP2B2(rs58289070),RAPGEF4(rs7584826),ADCY2(rs76122614),CLP1(rs7117878),PTK7(rs6941837),RARS2(rs2295086),DCLK2(rs556939470),MST1R(rs2230593),HS3ST5(rs13199095)
GO:0017076	GOMF	purine nucleotide binding	cause	-4.823040992	0.00448112161142908	0.990196078431373	312	2179	1987	774	GMPPB(rs7628207),IP6K1(rs9870858),UBA7(rs58339610),CPS1(rs72934339),CAMKV(rs62260755),TARS2(rs7553867),PCCB(rs9812513),ERBB4(rs72948529),KIF15(rs10514710),DPYD(rs61787778),RHOT2(rs7202316),CHST15(rs28423034),HIPK1(rs10732635),MAGI1(rs34945136),DHX30(rs13079407),STK32B(rs735287),GATB(rs9998462),ATP2B2(rs58289070),RAPGEF4(rs7584826),ADCY2(rs76122614),CLP1(rs7117878),PTK7(rs6941837),RARS2(rs2295086),DCLK2(rs556939470),CRYM(rs226059)
GO:0032553	GOMF	ribonucleotide binding	cause	-4.642939518	0.00480883683283341	0.990196078431373	300	2191	1909	1556	GMPPB(rs7628207),IP6K1(rs9870858),UBA7(rs58339610),CPS1(rs72934339),CAMKV(rs62260755),TARS2(rs7553867),PCCB(rs9812513),ERBB4(rs72948529),KIF15(rs10514710),RHOT2(rs7202316),CHST15(rs28423034),HIPK1(rs10732635),MAGI1(rs34945136),DHX30(rs13079407),STK32B(rs735287),GATB(rs9998462),ATP2B2(rs58289070),RAPGEF4(rs7584826),ADCY2(rs76122614),CLP1(rs7117878),PTK7(rs6941837),RARS2(rs2295086),DCLK2(rs556939470),MST1R(rs2230593),HS3ST5(rs13199095)
