pway	onto	desc	dir	sum	pval	padj	l_in	l_out	l_pway	idx	leading_edge
GO:0030054	GOCC	cell junction	cause	-6.9908628698	4.799999904e-07	0.0003964799920704	425	2128	2239	1686	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),NPM1(rs11134697),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CADPS2(rs7777351),PURG(rs2725371),GABRA1(rs980791),MAGI2(rs67497467),ERBB4(rs72948529),PCDH9(rs1413573),DDB2(rs3758667),CELF4(rs12967855),SNAP91(rs12202798),AJAP1(rs61765001),CTNNA2(rs1434077),LIN7C(rs1131924),MCTP1(rs10035632),NRAP(rs4554804),MAGI1(rs34945136),EFNB2(rs9514543),ATP2B2(rs58289070),ZDHHC5(rs11602109)
GO:0043232	GOCC	intracellular non-membrane-bounded organelle	cause	-11.7847422772	2.15927186958118e-06	0.000609850825514299	793	1760	5361	1035	BSN(rs9883000),IP6K1(rs9870858),TRAIP(rs62260723),FOXP2(rs12672683),CPS1(rs72934339),NPM1(rs11134697),FGF18(rs6887323),TCF4(rs613872),MRPS21(rs580060),STAG1(rs9868120),PHF2(rs10992790),MAD1L1(rs56016347),DAG1(rs9871024),MAGI2(rs67497467),ADARB2(rs34314544),KIF15(rs10514710),DDB2(rs3758667),NUFIP2(rs8614),CTNNA2(rs1434077),EYS(rs354365),WDR90(rs7189028),SLF1(rs55974730),BCL7C(rs11864054),HIPK1(rs10732635),NRAP(rs4554804)
GO:0043228	GOCC	non-membrane-bounded organelle	cause	-11.7847422772	2.2672577939007e-06	0.000609850825514299	793	1760	5363	1381	BSN(rs9883000),IP6K1(rs9870858),TRAIP(rs62260723),FOXP2(rs12672683),CPS1(rs72934339),NPM1(rs11134697),FGF18(rs6887323),TCF4(rs613872),MRPS21(rs580060),STAG1(rs9868120),PHF2(rs10992790),MAD1L1(rs56016347),DAG1(rs9871024),MAGI2(rs67497467),ADARB2(rs34314544),KIF15(rs10514710),DDB2(rs3758667),NUFIP2(rs8614),CTNNA2(rs1434077),EYS(rs354365),WDR90(rs7189028),SLF1(rs55974730),BCL7C(rs11864054),HIPK1(rs10732635),NRAP(rs4554804)
GO:0045202	GOCC	synapse	cause	-5.3125317338	2.95327276278111e-06	0.000609850825514299	312	2241	1491	900	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),CAMKV(rs62260755),SHANK3(rs9616945),DAG1(rs9871024),CADPS2(rs7777351),PURG(rs2725371),GABRA1(rs980791),MAGI2(rs67497467),ERBB4(rs72948529),CELF4(rs12967855),SNAP91(rs12202798),LIN7C(rs1131924),MCTP1(rs10035632),EFNB2(rs9514543),ATP2B2(rs58289070),ZDHHC5(rs11602109),CTNND1(rs80304923),RAPGEF4(rs7584826),LAMA2(rs9402104),NRXN1(rs17476536),PLXNA4(rs9656410),CSPG5(rs3755637),ABHD17C(rs117422098)
GO:0099634	GOCC	postsynaptic specialization membrane	cause	-1.017283845	1.29972426542737e-05	0.00214714448648602	38	2515	130	1995	DCC(rs12968428),SORCS3(rs3896224),GABRA1(rs980791),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),KCND3(rs197422),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),SHISA9(rs8047829),DCC(rs77702046),SORCS2(rs4689673),DLG2(rs919667),SEMA4C(rs62152866),SCN8A(rs115692430),PTPRS(rs116855522),GABRB2(rs6896537),ATP2B2(rs4684700)
GO:0099572	GOCC	postsynaptic specialization	cause	-1.985340618	1.64710874521788e-05	0.0022329767840113	96	2457	352	24	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),GABRA1(rs980791),MAGI2(rs67497467),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),ZDHHC5(rs11602109),CTNND1(rs80304923),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),GOPC(rs6941337),KCND3(rs197422),PALM(rs2238554),GRID2IP(rs74487555),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514)
GO:0045211	GOCC	postsynaptic membrane	cause	-1.622751339	2.08744579099625e-05	0.0022329767840113	74	2479	280	1378	DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),DAG1(rs9871024),GABRA1(rs980791),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),CSPG5(rs3755637),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),KCND3(rs197422),GRID2IP(rs74487555),UTRN(rs6926377),ERBB4(rs72939861),RNF10(rs492574),TENM2(rs12523097),FARP1(rs9517299),IGSF21(rs79200985),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),SHISA9(rs8047829)
GO:0098839	GOCC	postsynaptic density membrane	cause	-0.854332745	2.35615993520327e-05	0.0022329767840113	30	2523	102	1093	DCC(rs12968428),SORCS3(rs3896224),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),SHISA9(rs8047829),DCC(rs77702046),SORCS2(rs4689673),DLG2(rs919667),SEMA4C(rs62152866),SCN8A(rs115692430),PTPRS(rs116855522),ATP2B2(rs4684700),DLG1(rs73210543),GRIA1(rs143976352),GRIK3(rs822856),GRID2(rs61686274)
GO:0098984	GOCC	neuron to neuron synapse	cause	-2.010958318	2.43302555158616e-05	0.0022329767840113	98	2455	367	338	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),MAGI2(rs67497467),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),CTNND1(rs80304923),RAPGEF4(rs7584826),PLXNA4(rs9656410),ABHD17C(rs117422098),PTPRD(rs2181158),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),GOPC(rs6941337),PALM(rs2238554),GRID2IP(rs74487555),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514)
GO:0098982	GOCC	GABA-ergic synapse	cause	-0.812552321	4.22154853923971e-05	0.003486999093412	29	2524	79	1554	BSN(rs9883000),DAG1(rs9871024),GABRA1(rs980791),ERBB4(rs72948529),ATP2B2(rs58289070),ZDHHC5(rs11602109),CSPG5(rs3755637),GRID1(rs2664401),CDH13(rs9938031),KCND3(rs197422),ERBB4(rs72939861),CDH13(rs4782784),PTPRO(rs56354312),NLGN1(rs583514),ABHD6(rs9986),CTBP1(rs1265922),KCNC2(rs11180344),GABRB2(rs6896537),ATP2B2(rs4684700),GAD1(rs12185692),GABRR2(rs12195077),GAP43(rs3772928),SLC32A1(rs6128821),GABRB1(rs62297848),CNTN5(rs148107033)
GO:0097060	GOCC	synaptic membrane	cause	-1.971167839	5.44345569970233e-05	0.00373887013214356	98	2455	401	1137	DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),DAG1(rs9871024),GABRA1(rs980791),ERBB4(rs72948529),SNAP91(rs12202798),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),NRXN1(rs17476536),CSPG5(rs3755637),ABHD17C(rs117422098),PTPRD(rs2181158),GRID1(rs2664401),ADGRB3(rs1556754),KCND3(rs197422),GRID2IP(rs74487555),UTRN(rs6926377),ERBB4(rs72939861),DENND1A(rs10986088),RNF10(rs492574),TENM2(rs12523097),FARP1(rs9517299),IGSF21(rs79200985)
GO:0014069	GOCC	postsynaptic density	cause	-1.806652018	5.5371501658678e-05	0.00373887013214356	88	2465	319	760	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),MAGI2(rs67497467),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),CTNND1(rs80304923),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),GOPC(rs6941337),PALM(rs2238554),GRID2IP(rs74487555),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),ADGRA1(rs2474343),SHISA9(rs8047829),IGSF9B(rs12273435)
GO:0032279	GOCC	asymmetric synapse	cause	-1.887342468	5.97591057197748e-05	0.00373887013214356	93	2460	335	342	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),MAGI2(rs67497467),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),CTNND1(rs80304923),PLXNA4(rs9656410),ABHD17C(rs117422098),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),GOPC(rs6941337),PALM(rs2238554),GRID2IP(rs74487555),ERBB4(rs72939861),RNF10(rs492574),GRIN2B(rs7134291),PTPRO(rs56354312),NLGN1(rs583514),ADGRA1(rs2474343),SHISA9(rs8047829)
GO:0098978	GOCC	glutamatergic synapse	cause	-1.923267814	6.3370680205823e-05	0.00373887013214356	96	2457	425	234	BSN(rs9883000),SORCS3(rs3896224),CAMKV(rs62260755),DAG1(rs9871024),CADPS2(rs7777351),ERBB4(rs72948529),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),ZDHHC5(rs11602109),CTNND1(rs80304923),PLXNA4(rs9656410),CSPG5(rs3755637),ABHD17C(rs117422098),PTPRD(rs2181158),CDH11(rs973199),PRSS12(rs74831531),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),CPT1C(rs721885),GRID2IP(rs74487555),ERBB4(rs72939861),RNF10(rs492574),FARP1(rs9517299)
GO:0098794	GOCC	postsynapse	cause	-2.87504018	0.00023482965549792	0.0129312863627521	162	2391	660	137	BSN(rs9883000),DCC(rs12968428),SORCS3(rs3896224),SHANK3(rs9616945),DAG1(rs9871024),GABRA1(rs980791),MAGI2(rs67497467),ERBB4(rs72948529),CELF4(rs12967855),LIN7C(rs1131924),EFNB2(rs9514543),ATP2B2(rs58289070),ZDHHC5(rs11602109),CTNND1(rs80304923),LAMA2(rs9402104),CSPG5(rs3755637),ABHD17C(rs117422098),CELF4(rs9973081),GRID1(rs2664401),ADGRB3(rs1556754),TNIK(rs9855285),GOPC(rs6941337),KCND3(rs197422),PALM(rs2238554),CPT1C(rs721885)
GO:0097470	GOCC	ribbon synapse	cause	-0.33156116	0.000814489855165962	0.0420480387729428	9	2544	15	761	BSN(rs9883000),DAG1(rs9871024),CDH23(rs7070424),CACNB2(rs77952637),DIAPH3(rs9563769),DNM1(rs2016235),CDH23(rs3998530),CACNB2(rs59713597),PACSIN1(rs12202516)
GO:0016604	GOCC	nuclear body	pleio	2.444511986	0.000881126446007014	0.250628661663913	106	1677	831	1147	ILRUN(rs6907508),SNRPC(rs75398113),IKZF4(rs1702877),TCF20(rs5996139),CDK2(rs2069408),FTO(rs1111483),PRKN(rs9458264),BRD2(rs635688),ZNF174(rs37813),CACTIN(rs3746127),PML(rs743581),CDYL(rs6921417),CHRNA3(rs2067808),MYO1C(rs2286872),ANKS1B(rs201430),ZC3H14(rs11629164),SFMBT2(rs2245569),HOXB7(rs2875820),PRKN(rs2024588),NOLC1(rs7897),GATAD2A(rs34647936),PRCC(rs61816272),MAU2(rs9304960),SETBP1(rs7243770),TBXA2R(rs2238632)
GO:0005912	GOCC	adherens junction	cause	-0.95259518	0.00101969732152773	0.0495452933871709	43	2510	189	1706	DAG1(rs9871024),AJAP1(rs61765001),CTNNA2(rs1434077),LIN7C(rs1131924),MAGI1(rs34945136),EFNB2(rs9514543),CTNND1(rs80304923),PLEKHA7(rs4757466),CDH11(rs973199),CDH13(rs9938031),PARD3B(rs849253),ABI2(rs2246849),FRMD5(rs524908),IGSF21(rs79200985),CDH13(rs4782784),CDH12(rs66485180),MAGI1(rs9854638),CCDC85A(rs6545573),ADD1(rs1263359),DLG2(rs919667),BMPR2(rs112972072),PARD3B(rs12622352),LLGL2(rs35199943),SORBS1(rs35348091),ARVCF(rs165849)
GO:0043230	GOCC	extracellular organelle	pleio	4.4026597551	0.00154224373558918	0.250628661663913	220	1563	2128	243	RAB5B(rs705699),RPS26(rs1131017),BLOC1S6(rs4337250),C8A(rs682479),LYVE1(rs11042892),CFL1(rs654638),KALRN(rs529967),C8B(rs684844),PMEL(rs2069408),NPC1(rs891386),PRTN3(rs631822),DOCK2(rs77558278),ANO1(rs875107),LGALS3(rs1009978),ITGAL(rs4243233),FLOT2(rs6505095),SCPEP1(rs8081759),FAM20C(rs142807746),MYO1C(rs2286872),MYO1D(rs56406939),SLC38A1(rs2408496),WNT7B(rs28971325),CEP250(rs224390),GPM6A(rs7677621),CP(rs34654392)
